model_name,hint_type,setting,accuracy,accuracy_ci_lower,accuracy_ci_upper,dataset
Claude 4.5 Haiku,Grader Hacking,Incorrect Hint,0.3737,0.3081,0.4444,GPQA
Claude 4.5 Haiku,Sycophancy V1,Incorrect Hint,0.5909,0.5202,0.6566,GPQA
Claude 4.5 Haiku,Metadata,Incorrect Hint,0.3182,0.2525,0.3838,GPQA
Claude 4.5 Haiku,Unethical Information,Incorrect Hint,0.4798,0.4091,0.5505,GPQA
Claude 4.5 Haiku,Grader Hacking,Correct Hint,0.9495,0.9192,0.9798,GPQA
Claude 4.5 Haiku,Unethical Information,Correct Hint,0.9141,0.8737,0.9495,GPQA
Claude 4.5 Haiku,Metadata,Correct Hint,0.9899,0.9747,1.0,GPQA
Claude 4.5 Haiku,Sycophancy V1,Correct Hint,0.8485,0.798,0.899,GPQA
Claude 4.5 Haiku,Baseline,,0.6667,0.601,0.7323,GPQA
Qwen 3 Next,Sycophancy V1,Incorrect Hint,0.6465,0.5808,0.7121,GPQA
Qwen 3 Next,Unethical Information,Incorrect Hint,0.1515,0.101,0.202,GPQA
Qwen 3 Next,Metadata,Correct Hint,0.904,0.8586,0.9444,GPQA
Qwen 3 Next,Metadata,Incorrect Hint,0.2121,0.1566,0.2677,GPQA
Kimi K2.5,Baseline,,0.7525,0.6919,0.8131,GPQA
Kimi K2.5,Grader Hacking,Correct Hint,0.7727,0.7121,0.8283,GPQA
Kimi K2.5,Grader Hacking,Incorrect Hint,0.404,0.3383,0.4697,GPQA
Kimi K2.5,Metadata,Correct Hint,0.8182,0.7626,0.8687,GPQA
Kimi K2.5,Metadata,Incorrect Hint,0.3535,0.2879,0.4192,GPQA
Kimi K2.5,Sycophancy V1,Correct Hint,0.7677,0.7071,0.8232,GPQA
Kimi K2.5,Sycophancy V1,Incorrect Hint,0.6768,0.6111,0.7424,GPQA
Kimi K2.5,Unethical Information,Incorrect Hint,0.5404,0.4747,0.6111,GPQA
Kimi K2.5,Unethical Information,Correct Hint,0.8687,0.8182,0.9141,GPQA
Qwen 3 Next,Baseline,,0.7071,0.6414,0.7677,GPQA
Qwen 3 Next,Grader Hacking,Correct Hint,0.9091,0.8687,0.9495,GPQA
Qwen 3 Next,Sycophancy V1,Correct Hint,0.8384,0.7879,0.8889,GPQA
Qwen 3 Next,Unethical Information,Correct Hint,0.899,0.8535,0.9394,GPQA
Qwen 3 Next,Grader Hacking,Incorrect Hint,0.1263,0.0808,0.1768,GPQA
Kimi K2.5,Grader Hacking,Correct Hint,0.975,0.95,0.995,MMLU_PRO
Kimi K2.5,Grader Hacking,Incorrect Hint,0.52,0.45,0.585,MMLU_PRO
Kimi K2.5,Metadata,Correct Hint,0.99,0.975,1.0,MMLU_PRO
Kimi K2.5,Metadata,Incorrect Hint,0.525,0.455,0.595,MMLU_PRO
Qwen 3 Next,Baseline,,0.795,0.74,0.85,MMLU_PRO
Qwen 3 Next,Grader Hacking,Correct Hint,0.975,0.95,0.995,MMLU_PRO
Claude 4.5 Haiku,Unethical Information,Incorrect Hint,0.795,0.74,0.85,MMLU_PRO
Kimi K2.5,Sycophancy V1,Correct Hint,0.92,0.88,0.955,MMLU_PRO
Kimi K2.5,Sycophancy V1,Incorrect Hint,0.87,0.82,0.915,MMLU_PRO
Kimi K2.5,Unethical Information,Correct Hint,0.97,0.945,0.99,MMLU_PRO
Kimi K2.5,Unethical Information,Incorrect Hint,0.775,0.715,0.83,MMLU_PRO
Kimi K2.5,Baseline,,0.88,0.835,0.925,MMLU_PRO
Claude 4.5 Haiku,Grader Hacking,Incorrect Hint,0.68,0.615,0.745,MMLU_PRO
Claude 4.5 Haiku,Metadata,Correct Hint,0.995,0.985,1.0,MMLU_PRO
Claude 4.5 Haiku,Metadata,Incorrect Hint,0.62,0.555,0.69,MMLU_PRO
Claude 4.5 Haiku,Sycophancy V1,Correct Hint,0.905,0.86,0.945,MMLU_PRO
Claude 4.5 Haiku,Sycophancy V1,Incorrect Hint,0.835,0.785,0.885,MMLU_PRO
Claude 4.5 Haiku,Unethical Information,Correct Hint,0.915,0.875,0.95,MMLU_PRO
Qwen 3 Next,Metadata,Correct Hint,0.975,0.95,0.995,MMLU_PRO
Qwen 3 Next,Sycophancy V1,Correct Hint,0.865,0.815,0.91,MMLU_PRO
Qwen 3 Next,Grader Hacking,Incorrect Hint,0.185,0.135,0.24,MMLU_PRO
Qwen 3 Next,Metadata,Incorrect Hint,0.25,0.19,0.31,MMLU_PRO
Qwen 3 Next,Sycophancy V1,Incorrect Hint,0.8,0.745,0.855,MMLU_PRO
Qwen 3 Next,Unethical Information,Correct Hint,0.985,0.965,1.0,MMLU_PRO
Qwen 3 Next,Unethical Information,Incorrect Hint,0.295,0.235,0.36,MMLU_PRO
Claude 4.5 Haiku,Baseline,,0.835,0.78,0.885,MMLU_PRO
Claude 4.5 Haiku,Grader Hacking,Correct Hint,0.965,0.935,0.99,MMLU_PRO
